"","Course","Course_overview","Unit","Overview","Prerequisite","Corequisite","Prohibition","Outcomes","Unit_type","Unit_code","Course_code"
"24","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Optimisation for Industry","The use of mathematical optimisation is widespread in business, where it is a key analytical tool for managing and planning business operations. It is also required in many industrial processes and is useful to government and community organizations. This subject will expose students to operations research techniques as used in industry. A heavy emphasis will be placed on the modelling process that turns an industrial problem into a mathematical formulation. The focus will then be on how to solve the resulting mathematical problem with mixed-integer programming techniques.","Linear Algebra, Accelerated Mathematics 1, Linear Algebra: Advanced","None","None","Have learned how basic techniques in operations research are applied in industry;Understand how to turn an industrial problem into a mathematical formulation;Know how to solve important mathematical optimisation problems arising in industrial framework; andBe able to pursue further studies in this and related areas.","Elective","MAST90014","MC-DATASC"
"25","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Practice of Statistics & Data Science","This subject builds on methods and techniques learned in theoretical subjects by studying the application of statistics in real contexts. Emphasis is on the skills needed for a practising statistician, including the development of mature statistical thinking, organizing the structure of a statistical problem, the contribution to the design of research from a statistical point of view, measurement issues and data processing. The subject deals with thinking about data in a broad context, and skills required in statistical consulting.","Linear Statistical Models, Modern Applied Statistics","None","None","have developed their skills in the effective communication of statistical material, verbally and in writing;be aware of the key requirements of working as a practising statistician, and developed their ability to meet these requirements;have developed their understanding of the needs and characteristics of users of statistics, and learned about the important issues that arise in interactions between statisticians and their clients.","Elective","MAST90027","MC-DATASC"
"26","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Stochastic Calculus with Applications","This subject provides an introduction to stochastic calculus and mathematics of financial derivatives. Stochastic calculus is essentially a theory of integration of a stochastic process with respect to another stochastic process, created for situations where conventional integration will not be possible. Apart from being an interesting and deep mathematical theory, stochastic calculus has been used with great success in numerous application areas, from engineering and control theory to mathematical biology, theory of cognition and financial mathematics.","Stochastic Modelling, Probability for Inference","None","None","Gain an understanding of the basic knowledge of stochastic calculus;Be able to apply the stochastic calculus to financial derivatives; andExtend the probabilistic knowledge base and intuition to pursue further studies in stochastic processes and their applications.","Elective","MAST90059","MC-DATASC"
"27","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Advanced Probability","This subject explores a range of key concepts in modern Probability Theory that are fundamental for Mathematical Statistics and are widely used in other applications. We study measurable space, product measure, Fubini's theorem, conditional expectation and conditional probability, construction of i.i.d. and beyond, discrete-time martingales.","Probability for Inference","None","None","Demonstrate mastery of the principles of probability theory and some of its important applications;Apply advanced techniques used in probability theory and contiguous areas;Analyse and construct mathematical arguments in the context of probability theory;Develop essential skills required to pursue further studies in the areas of mathematics dealing with modelling of random phenomena.","Elective","MAST90081","MC-DATASC"
"28","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Random Processes","The subject covers some key aspects of the theory of stochastic processes that plays a central role in modern probability and has numerous applications in natural sciences and industry. We discuss the following topics: ways to construct and specify random processes, functional central limit theorem, Levy processes, renewal processes and Markov processes (discrete and continuous state space). Applications to modelling random phenomena evolving in time are discussed throughout the course.","Advanced Probability","None","None","gain an understanding of the basic concepts of the theory of stochastic processes;gain an understanding of the fundamental techniques used in the study of random processes;extend their ability to construct mathematical models for real-life situations involving uncertainty and evolving in time;gain the ability to pursue further studies in this and related areas.","Elective","MAST90019","MC-DATASC"
"29","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Bayesian Statistical Learning","Bayesian inference treats all unknowns as random variables, and the core task is to update the probability distribution for each unknown as new data is observed. After introducing Bayes’ Theorem to transform prior probabilities into posterior probabilities, the first part of this subject introduces theory and methodological aspects underlying Bayesian statistical learning including credible regions, prior choice, comparisons of means and proportions, multi-model inference and model selection. The second part of the subject will cover practical implementations of Bayesian methods through Markov Chain Monte Carlo computing and real data applications, focusing on (generalised) linear models and concluding by exploring machine learning techniques such as Gaussian processes.","Statistics, Stochastic Modelling, Linear Statistical Models, Modern Applied Statistics, Probability for Inference","None","None","An understanding of selected advanced topics in Bayesian statistics;Developed the mathematical and computational skills needed for further research or applied work in statistics and data science;Preparation for a research or industry career in statistics and data science;Familiarity with several major texts in Bayesian statistics.","Elective","MAST90125","MC-DATASC"
"30","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Mathematical Statistics","The theory of statistical inference is important for applied statistics and as a discipline in its own right. After reviewing random samples and related probability techniques including inequalities and convergence concepts the theory of statistical inference is developed. The principles of data reduction are discussed and related to model development. Methods of finding estimators are given, with an emphasis on multi-parameter models, along with the theory of hypothesis testing and interval estimation. Both finite and large sample properties of estimators are considered. Applications may include robust and distribution free methods, quasi-likelihood and generalized estimating equations. It is expected that students completing this course will have the tools to be able to develop inference procedures in novel settings.","Statistics, Stochastic Modelling, Linear Statistical Models, Modern Applied Statistics, Probability for Inference","None","None","Understand the principles of mathematical statistics and some of its important applications; andBe able to pursue further studies in this and related areas.","Elective","MAST90082","MC-DATASC"
"31","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","AI Planning for Autonomy","The key focus of this subject is the foundations of autonomous agents that reason about action, applying techniques such as automated planning, reinforcement learning, game theory, and their real-world applications. Autonomous agents are active entities that perceive their environment, reason, plan and execute appropriate actions to achieve their goals, in service of their users (the real world, human beings, or other agents). The subject focuses on the foundations that enable agents to reason autonomously about goals & rewards, perception, actions, strategy, and the knowledge of other agents during collaborative task execution, and the ethical impacts of agents with this ability. 
  The programming language used in this subject is Python. No lectures or workshops on Python will be delivered.","Algorithms and Data Structures, Design of Algorithms, Algorithms and Complexity, Numerical Algorithms in Engineering","None","None","Apply theoretical concepts of reasoning about actions to single and multi-agent problemsBe able to analyse, design, and implement automated planning, reinforcement learning, and game theoretic techniques to given problemsUnderstand the strengths, weaknesses, and ethical consequences of different approaches for reasoning about actionBe able to critically evaluate and choose the right technique for different problems in reasoning about actionCommunicate technical solutions about automated planning, reinforcement learning, and game theory","Elective","COMP90054","MC-DATASC"
"32","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Advanced Theoretical Computer Science","At the heart of theoretical computer science are questions of both philosophical and practical importance. What does it mean for a problem to be solvable by computer? What are the limits of computability? Which types of problems can be solved efficiently? What are our options in the face of intractability? This subject covers such questions in the content of a wide-ranging exploration of the nexus between logic, complexity and algorithms, and examines many important (and sometimes surprising) results about the nature of computing.","Models of Computation","None","None","Design, manipulate, and reason about Turing machinesAccount for the inherent complexity of many computational problems of practical importanceConduct formal reasoning about machines, circuits, problems and algorithms, including reduction-based proofDesign approximation algorithms for intractable problemsApply complexity arguments to related fundamental computational problems, such as randomized computations, interactive proof systems and cryptographic pseudorandom generators","Elective","COMP90057","MC-DATASC"
"33","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Algorithms for Bioinformatics","Technological advances in obtaining high throughput data have stimulated the development of new computational approaches to bioinformatics. This subject will cover core computational challenges in analysing bioinformatics data. We cover important algorithmic approaches and data structures used in solving these problems, and the challenges that arise as these problems increase in scale.","Computational Genomics","None","None","Understand bioinformatics data representationsDescribe the computational challenges posed by common bioinformatics analysesApply important algorithms used in solving bioinformatics problemsDesign and implement algorithms and data structures to address key questions in bioinformaticsDesign and implement a toolkit of algorithmic problem-solving techniques that can be applied to a diverse range of bioinformatics tasksUnderstand the feasibility constraints imposed by computational complexity of algorithmsLearn techniques for extracting information from data and visualising the results of analyses","Elective","COMP90014","MC-DATASC"
"34","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Computational Genomics","The study of genomics is on the forefront of biology. Current laboratory technologies generate huge amounts of data and computational analysis is necessary to make sense of these data. This subject covers a broad range of approaches to the computational analysis of genomic data. You will learn the theory behind a variety of different approaches to genomic analysis, and be introduced to key tools in current use, preparing you to use existing methods appropriately as well as developing new ways to analyse genomic data. You will also have opportunities to apply your skills in workshops and assignments using both existing computational genomics tools and writing your own custom Python functions.","Foundations of Computing, Foundations of Algorithms, Intro. to Numerical Computation in C, Programming and Software Development, Introduction to Programming","None","None","Use and manipulate a range of data formats used in computational genomicsIdentify and describe commonly used computational approaches to processing genomic data and appropriately apply themDiscuss the advantages and disadvantages of a variety of algorithms that underpin computational genomic analysesDesign analysis workflows for novel scenarios using tools and methods discussed in the subjectWrite simple Python programs and use programming libraries to complete computational genomics tasksDescribe current research issues in computational genomics and related fieldsExplain the role of computational genomics in solving modern biological challenges","Elective","COMP90016","MC-DATASC"
"35","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Constraint Programming","The aims for this subject is for students to develop an understanding of approaches to solving combinatorial optimization problems with computers, and to be able to demonstrate proficiency in modelling and solving programs using a high-level modelling language, and understanding of different solving technologies. The modelling language used is MiniZinc.","Algorithms and Data Structures, Design of Algorithms, Algorithms and Complexity, Declarative Programming","None","None","Model a complex constraint problem using a high level modelling languageDefine and explore different search strategies for solving a problemExplain how modelling interacts with solving algorithms, and formulate models to take advantage of this using state of the art optimisation toolsExplain different optimization technologies, and their strengths and weaknesses","Elective","COMP90046","MC-DATASC"
"36","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Cryptography and Security","The subject will explore foundational knowledge in the area of cryptography and information security. The overall aim is to gain an understanding of fundamental cryptographic concepts like encryption and signatures and use it to build and analyse security in computers, communications and networks. This subject covers fundamental concepts in information security on the basis of methods of modern cryptography, including encryption, signatures and hash functions.","Programming and Software Development, Object Oriented Software Development, Algorithms and Data Structures, Design of Algorithms, Algorithms and Complexity, Computer Systems, Internet Technologies","None","None","Identify security issues and objectives in computer systems and networksApply various security mechanisms derived from cryptography to computers and computer networksExplain the workings of fundamental public key and symmetric key cryptographic algorithms including RSA, ElGamal, Diffie-Hellman schemes and stream ciphersExplain the protocols which ensure security in contemporary networked computer systemsDescribe the interaction between the underlying theory and working computer security infrastructureAnalyse security of network protocols and systems","Elective","COMP90043","MC-DATASC"
"37","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Declarative Programming","Declarative programming languages provide elegant and powerful programming paradigms which every programmer should know. This subject presents declarative programming languages and techniques.","Algorithms and Data Structures, Design of Algorithms, Algorithms and Complexity","None","Declarative Programming, Object Oriented Software Development","Apply declarative programming techniquesWrite medium size programs in a declarative languageWrite programs in which different components use different languagesSelect appropriate languages for each component task in a project","Elective","COMP90048","MC-DATASC"
"38","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Distributed Algorithms","The Internet, World Wide Web, bank networks, mobile phone networks and many others are examples for Distributed Systems. Distributed Systems rely on a key set of algorithms and data structures to run efficiently and effectively. In this subject, we learn these key algorithms that professionals work with while dealing with various systems. Clock synchronization, leader election, mutual exclusion, and replication are just a few areas were multiple well known algorithms were developed during the evolution of the Distributed Computing paradigm.","Distributed Systems","None","None","Have developed an understanding of distributed algorithm designBe able to implement and analyse distributed algorithms.","Elective","COMP90020","MC-DATASC"
"39","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Distributed Systems","The subject aims to provide an understanding of the principles on which the Web, Email, DNS and other interesting distributed systems are based. Questions concerning distributed architecture, concepts and design; and how these meet the demands of contemporary distributed applications will be addressed.","Internet Technologies, Algorithms and Complexity, Programming and Software Development","None","None","Be able to apply the principles and paradigms of distributed systems in design, development and critical reasoningDemonstrate an ability to implement a complex distributed application from first principles","Elective","COMP90015","MC-DATASC"
"40","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Internet Technologies","The subject will introduce the basics of computer networks to students through a study of layered models of computer networks and applications. The first half of the subject deals with data communication protocols in the lower layers of OSI and TCP/IP reference models. The students will be exposed to the working of various fundamental networking technologies such as wireless, LAN, RFID and sensor networks. The second half of the subject deals with the upper layers of the TCP/IP reference model through a study of several Internet applications.","None","None","Computer Systems","Explain the salient aspects of network technologies and applicationsBe able to use correct terminology within the domain of computer networksBe able to conceptualise and explain the functionality of the different layers within a network architectureBe able to explain the architecture and operation of the Internet","Elective","COMP90007","MC-DATASC"
"41","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Mobile Computing Systems Programming","Mobile devices are ubiquitous nowadays. Mobile computing encompasses technologies, devices and software that enable (wireless) access to services anyplace, anytime, and anywhere. This subject will cover fundamental mobile computing techniques and technologies, and explain challenges that are unique to the design, implementation, and evaluation of mobile computing. In particular, this subject will enable students to develop mobile phone applications that take advantage of the unique sensing capabilities of mobile devices, their multi-modal interaction capabilities, and their ability to sense and respond to context.","Programming and Software Development, Object Oriented Software Development, Computer Systems, Internet Technologies","None","None","Develop a deeper understanding of mobile systems, their challenges, and their programmingBe able to develop applications for mobile devices that include the integration of sensed informationLearn to work in small effective teamsDiscuss and present new mobile research topics and technologies in oral and written form","Elective","COMP90018","MC-DATASC"
"42","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Parallel and Multicore Computing","The subject aims to introduce students to parallel algorithms and their analysis. Fundamental principles of parallel computing are discussed. Various parallel architectures and programming platforms are introduced. Parallel algorithms for different architectures, as well as parallel algorithms addressing specific scientific problems are critically analysed.","Distributed Systems","None","None","Have an understanding of parallel algorithms, analysis and architecturesObtain experience developing parallel algorithms for various parallel architectures","Elective","COMP90025","MC-DATASC"
"43","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Programming Language Implementation","Good craftsmen know their tools, and compilers are amongst the most important tools that programmers use. There are many ways in which familiarity with compilers helps programmers. For example, knowledge of semantic analysis helps programmers understand error messages, and knowledge of code generation techniques helps programmers debug problems at assembly language level. The technologies used in compiler development are also useful when implementing other kinds of programs. The concepts and tools used in the analysis phases of a compiler are useful for any program whose input has a structure that is non-trivial to recognize, while those used in the synthesis phases are useful for any program that generates commands for another system. This subject provides an understanding of the main principles of programming language implementation, as well as first hand experience of the application of those principles.","Declarative Programming, Declarative Programming, Algorithms and Data Structures, Design of Algorithms, Algorithms and Complexity","None","None","Describe important concepts and techniques in programming language implementationExploit their knowledge of compilers to be more effective programmersUse analysis tools to help implement programs whose input has a structure that is non-trivial to recogniseUse synthesis tools to help implement programs that generate commands for other programs","Elective","COMP90045","MC-DATASC"
"44","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Natural Language Processing","Much of the world's knowledge is stored in the form of text, and accordingly, understanding and harnessing knowledge from text are key challenges. In this subject, students will learn computational methods for working with text, in the form of natural language understanding, and language generation. Students will develop an understanding of the main algorithms used in natural language processing, for use in a diverse range of applications including machine translation, text mining, sentiment analysis, and question answering. The programming language used is Python.","Machine Learning, Introduction to Machine Learning, Statistical Machine Learning","None","None","Identify basic challenges associated with the computational modelling of natural languageUnderstand and articulate the mathematical and/or algorithmic basis of common techniques used in natural language processingImplement relevant techniques and/or interface with existing librariesCarry out end-to-end research experiments, including evaluation with text corpora as well as presentation and interpretation of results","Elective","COMP90042","MC-DATASC"
"45","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Stream Computing and Applications","With exponential growth in data generated from sensor data streams, search engines, spam filters, medical services, online analysis of financial data streams, and so forth, there is demand for fast monitoring and storage of huge amounts of data in real-time. Traditional technologies were not aimed to such fast streams of data. Usually they required data to be stored and indexed before it could be processed.","Algorithms and Complexity, Programming and Software Development, Algorithms and Data Structures, Design of Algorithms","None","None","Design streaming algorithms and data structures for fundamental problems and variantsConduct mathematical analysis of such algorithms and data structuresImplement efficient schemes for streamed large data setsReason about, contrast and compare streaming methods with those for random-access, disk-bound, and parallel computation","Elective","COMP90056","MC-DATASC"
"46","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Knowledge Management Systems","This subject focuses on how Knowledge Management (KM) and a range of Information Technologies and analysis techniques are used to support KM initiatives in organisations. Technologies likely to be considered are: collaborative and social media tools; corporate knowledge directories; data warehouses and other repositories of organizational memory; business intelligence including data-mining; process automation; workflow and document management. The emphasis is on high-level decision-making and the rationale of technology-based initiatives and their impact on organizational knowledge and its use. This subject supports course-level objectives by allowing students to develop analytical skills to understand the complexity of real-world KM work in organisations. It promotes innovative thinking around the deployment of existing and emerging information technologies for KM. The subject contributes to the development of independent critical inquiry, analysis and reflection.","None","None","None","Understand the theoretical concepts of knowledge management and apply them to real-world situationsBe able to use qualitative techniques of analysis to identify requirements for knowledge-initiatives in response to a real-world work situationUnderstand the strengths and weaknesses of different technological approaches to knowledge managementBe able to specify new high-level designs for knowledge management initiatives using discourse analysis, qualitative techniques and design thinkingBe able to analyse documented cases of knowledge management initiatives and identify their strengths and weaknesses","Elective","ISYS90035","MC-DATASC"
