"","Course","Course_code","Course_overview","Unit","Unit_code","Overview","RequesiteRules","LearningOutcome","Unit_type","Incompatible","Equivalent","Prerequisite"
"28","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","ARTIFICIAL INTELLIGENCE IN BIOINFORMATICS","CSE5BIO","This subject introduces artificial intelligence (AI) in bioinformatics and biomedicine. It covers complex biological analysis, the application of AI principles, and the integration of diverse biological content through different AI technologies. On completing this subject you will be able to understand and apply AI techniques such as data modelling, machine learning, deep learning, statistical methods and data mining in Bioinformatics and Biomedicines problems. They will also understand how AI in bioinformatics technologies can be applied to DNA,RNA and protein structure and folding problems, molecular interactions, drug discovery, digital health, genetics and metabolic pathways.","None","1.Analyse the characteristics of biological and biomedical data using AI approaches 2.Select and effectively use existing AI tools to solve bioinformatics tasks such as pattern recognition and gene identification 3.Evaluate and interpret the results generated by bioinformatics tools to a high standard 4.Clearly present data analysis results of molecular interactions and biological knowledge discovery","Specialisation",NA,NA,NA
"29","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA MINING","CSE5DMI","Data Mining refers to various techniques which can be used to uncover hidden information from a database. The data to be mined may be complex data including big data, multimedia, spatial and temporal data, biological and health data. Data Mining has evolved from several areas including: databases, artificial intelligence, algorithms, information retrieval and statistics. This subject is designed to provide you with a solid understanding of data mining concepts and tools. The subject covers algorithms and techniques for data pre-processing, data classification, association rule mining, and data clustering. The subject also covers domain applications where data mining techniques are used.","None","1.Perform critical and effective data- pre-processing tasks 2.Evaluate major data mining classification methodologies 3.Critique association rules mining approaches 4.Evaluate  Data Mining Algorithms based on data clustering techniques 5.Apply advanced data mining techniques for pattern discovery from selected datasets","Specialisation","DATA MINING",NA,"INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG), C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG), OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS"
"30","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MODELS FOR BIOINFORMATICS","STA5MB","The advance in omics technology have seen an exponential increase in the volume of biological data in the last ten years. Statistical models play important roles in drawing conclusions from and making sense of the complex and often noisy omics data. This subject will introduce students to statistical issues and potential solutions to problems commonly encountered at various stage of omics data analysis, from data acquisition, alignment, quality controls, data analysis, visualization and interpretation. Topics covered will include introduction to next-generation sequencing and microarray technologies, batch effects and other unwanted variations, multiple hypothesis testing problems, statistical tests and models for high-dimensional data, data visualization and utilizing biological database via pathway-based analysis. Students will also be introduced to intermediate level of R programming language, including writing customized scripts and functions, developing R packages and working with 'pipe' operator. Bioconductor packages ( www.bioconductor.org ) and other freely-available Bioinformatics software will be used for all Lab sessions.","Prerequisites: Must be admitted in the Master of Data Science (SMDS) or SMBB (Advanced Bioinformatics pathway) and have passed STM4PSD  ","1.Demonstrate specialised theoretical and technical skills in solving statistical issues in bioinformatic 2.Use specialised cognitive and technical skills to critically analyse, reflect on and synthesise complex information, problems, concepts and theories relevant to solving statistical issues in bioinformatic 3.Apply established theories relevant to statistical issues in bioinformatic 4.Use advanced communication skills to transmit knowledge and ideas of the role of statistics in bioinformatics to other 5.Demonstrate autonomy, expert judgement, adaptability and responsibility as an applied statisticia","Specialisation",NA,NA,NA
"31","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA MINING","CSE5DMI","Data Mining refers to various techniques which can be used to uncover hidden information from a database. The data to be mined may be complex data including big data, multimedia, spatial and temporal data, biological and health data. Data Mining has evolved from several areas including: databases, artificial intelligence, algorithms, information retrieval and statistics. This subject is designed to provide you with a solid understanding of data mining concepts and tools. The subject covers algorithms and techniques for data pre-processing, data classification, association rule mining, and data clustering. The subject also covers domain applications where data mining techniques are used.","None","1.Perform critical and effective data- pre-processing tasks 2.Evaluate major data mining classification methodologies 3.Critique association rules mining approaches 4.Evaluate  Data Mining Algorithms based on data clustering techniques 5.Apply advanced data mining techniques for pattern discovery from selected datasets","Specialisation","DATA MINING",NA,"INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG), C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG), OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS"
"32","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","PRINCIPLES OF BUSINESS ANALYTICS","BUS5PB","This subject introduces you to business and data analytics with a strong focus on practical outcomes that are directly applicable to business contexts. It delivers a comprehensive understanding of current theories, frameworks, applications and technologies that support modern data-driven decision-making process. You will gain hands-on experience in IBM Cognos, SAP Lumira and Microsoft Power BI to design and develop analytics solutions. The subject focuses on introducing key descriptive analytics topics, data wrangling, text processing and data ethics. Industry-based guest lectures will present fresh perspectives on the managerial role in planning and implementing business analytics initiatives and the emerging role of analytics in business performance management. Upon completion, you will be able to transform business problems into analytics solutions, understand key issues, analytics frameworks, techniques, determine business value of analytics outcomes and appreciate its role in BPM.","Admitted in LMMGTM  or LMIBUS or LMMKT or BM004 or LMMBA or LMMBAO or LGBUA or LGBUAO  or  HZMBHO or  LMMBAA or HZMBHA or HX002CI or HX0020 or LZFABA or SMDS or HMSA or HGSA or  LMBAN or LCBAN or LGBAN or BM005 or LMBISC or LGIS or LCISM or HMDH or BG007O or BC007O or BM002 ","1.Examine the purpose and importance of analytics within a business environment, alongside implications for technologies, workflows, participation and management 2.Analyse and evaluate the function of key elements of a typical analytics solution; technology infrastructure, data architecture, data management, analytics methodologies, analytics techniques, reports, dashboards, responsibilities of groups and individuals within the business environment 3.Evaluate requirements, methodologies and technologies for analytics-based business performance management","Specialisation",NA,NA,NA
"33","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","SPATIAL ANALYSIS","STA5001","The subject introduces you to spatial data analysis. It surveys the theory of spatial random processes, spatial statistics models, and their applications to a wide range of areas, including image analysis and GIS (geographic information system). The subject will cover the methodology and modern developments for spatial-temporal modelling, estimation and prediction, spectral analysis of spatial processes and working with big spatial data. All the methods presented will be introduced and illustrated in the context of specific datasets with GRASS and R software. You will get experience with analysis of real-world data.","None","1.Formulate purposeful questions to explore new statistical ideas and subsequently design valid statistical experiments 2.Present clear, well structured analysis of important statistical model results 3.Creatively find solutions to real world problems consistent with those commonly faced by practicing statisticians 4.Professionally defend or question the validity of existing statistical analyses and associated evidence-based conclusions that are derived via application of sound spatial statistical methodology","Specialisation","SPATIAL ANALYSIS",NA,""
"34","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","PREDICTIVE ANALYTICS","BUS5PA","The information age has combined with the widespread adoption of digital technology to turn information into a key business asset. Organizations now have access to massive volumes of data from diverse sources and require skills and expertise in making sense of this information for strategic decision making. Predictive analytics refers to a variety of statistical and analytical techniques used to develop models that predict future events from data. This subject will provide you with the knowledge and skills to build and use predictive models in real business scenarios. You will be given the opportunity to gain hands-on experience with one of the globally most widely used predictive analytics software tools. Case studies such as target marketing and customer churn analysis will be used to demonstrate the business value of predictive analytics. A number of related data mining and machine learning techniques such as neural networks, decision trees, customer segmentation and profiling will also be taught. The effect of big data, stream analysis and text analytics on traditional predictive techniques will also be discussed.","None","1.Appraise and differentiate the key statistical theories and data mining techniques focusing on their suitability to solve predictive analytics problem 2.Compare and contrast different predictive analytics models and data mining techniques to formulate solutions for business problems 3.Appraise the need of different predictive analytics models and techniques, evaluate the value of such models and justify the inclusion of particular techniques in a case study","Specialisation",NA,NA,"DATA WRANGLING AND R, PRINCIPLES OF BUSINESS ANALYTICS"
"35","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","ANALYSIS OF REPEATED MEASURES","STA5ARM","Repeated measures data is used commonly in many disciplines including health, psychology, economics and biology. This subject provides students with the knowledge of how to perform the appropriate statistical analysis in a repeated measures data environment by using models such as the linear mixed model, correlated random effects model and marginal model. Students will learn how to examine research questions by applying these models using the R statistical package.","Prerequisites: Must be admitted in the Master of Data Science (SMDS) and have passed STM4PSD Other students require Coordinators Approval. The prerequisite subjects are waived for students enrolled in either of the courses LMBAN, BM005 or LMFAN.  ","1.Use specialised computer software to critically analyse, reflect on and summarise complex information, problems and concepts for repeated measures data 2.Demonstrate an understanding of complex repeated measures regression models by expressing a research question in the form of a regression model 3.Use advanced written communication skills to disseminate findings from analyses of repeated measures data at a level commensurate with what is appropriate in the scientific literature for a range of disciplines 4.Use advanced written communication skills to critique published analyses of repeated measures data and to justify findings that result from applying a variety of methods","Specialisation",NA,NA,NA
"36","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","META ANALYSIS","STA5MA","The literature abounds with findings that collectively may offer important new insights for the betterment of the medical, psychological and life sciences, to name just a few. This subject is designed to provide students with the ability to combine estimated measures of evidence, known as effects, from comparable studies to increase power. Estimators are introduced which are commonly found in meta-analytic research and pitfalls are discussed. On completion of the subject, the student will have an understanding of the different effects that can be collected from the literature as well as an appreciation of how effect sizes arising from data measured on different scales can be combined. Importantly, this subject also shows students how meta-regression can be used to account for study-specific covariates that cannot be adequately accounted for using random-effects models. The freely available software packages R and RevMan are used throughout the subject.","Prerequisites: Must be admitted in the Master of Data Science (SMDS) and have passed STM4PSD or both STA4SS and STM4PM Other students require Coordinators Approval ","1.Present clear, well-structured arguments that validate the combination of effect sizes from several studies that may differ in several aspects, including with respect to moderators and data measurement scales 2.Describe summary output from meta-analyses in a manner which can be understood by scientists with weak statistical backgrounds, but with knowledge from the discipline for which the research question is of interest 3.Demonstrate an expert understanding of the use of statistical software packages by carrying out valid analyses of real meta-data and providing clear interpretations of all computer output 4.Critique and summarise published meta-analyses, clearly highlighting weaknesses and flaws that undermine the key findings","Specialisation",NA,NA,NA
"37","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MODELS FOR BIOINFORMATICS","STA5MB","The advance in omics technology have seen an exponential increase in the volume of biological data in the last ten years. Statistical models play important roles in drawing conclusions from and making sense of the complex and often noisy omics data. This subject will introduce students to statistical issues and potential solutions to problems commonly encountered at various stage of omics data analysis, from data acquisition, alignment, quality controls, data analysis, visualization and interpretation. Topics covered will include introduction to next-generation sequencing and microarray technologies, batch effects and other unwanted variations, multiple hypothesis testing problems, statistical tests and models for high-dimensional data, data visualization and utilizing biological database via pathway-based analysis. Students will also be introduced to intermediate level of R programming language, including writing customized scripts and functions, developing R packages and working with 'pipe' operator. Bioconductor packages ( www.bioconductor.org ) and other freely-available Bioinformatics software will be used for all Lab sessions.","Prerequisites: Must be admitted in the Master of Data Science (SMDS) or SMBB (Advanced Bioinformatics pathway) and have passed STM4PSD  ","1.Demonstrate specialised theoretical and technical skills in solving statistical issues in bioinformatic 2.Use specialised cognitive and technical skills to critically analyse, reflect on and synthesise complex information, problems, concepts and theories relevant to solving statistical issues in bioinformatic 3.Apply established theories relevant to statistical issues in bioinformatic 4.Use advanced communication skills to transmit knowledge and ideas of the role of statistics in bioinformatics to other 5.Demonstrate autonomy, expert judgement, adaptability and responsibility as an applied statisticia","Specialisation",NA,NA,NA
"38","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MACHINE LEARNING","CSE5ML","Quantitative analysis plays an important role in industrial data analytics and knowledge engineering, which makes it very useful to develop computing skills for data regression and classification. This subject covers fundamentals of machine learning techniques in theory and practice. The subject is designed to focus on solving industrial data modelling problems using neural networks. You will learn how to test various learning algorithms and compare performance evaluations. Some advanced machine learning techniques for data classification will also be addressed. You will work with industrial data modelling in labs and assignments to consolidate your knowledge and gain hands-on experience with machine learning applications","None","1.Explain associated concepts and applications of machine learning techniques  for data analytics 2.Critically identify the major components and system design in developing neural networks data regression and classification 3.Analyse data to design, implement and evaluate machine learning techniques for real world problem solving 4.Implement  a neural network with different learning algorithms for time- series forecasting with real world data from industry","Specialisation",NA,NA,"ARTIFICIAL INTELLIGENCE FUNDAMENTALS  , Graduate Certificate in Artificial Intelligence , INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG)"
"39","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA MINING","CSE5DMI","Data Mining refers to various techniques which can be used to uncover hidden information from a database. The data to be mined may be complex data including big data, multimedia, spatial and temporal data, biological and health data. Data Mining has evolved from several areas including: databases, artificial intelligence, algorithms, information retrieval and statistics. This subject is designed to provide you with a solid understanding of data mining concepts and tools. The subject covers algorithms and techniques for data pre-processing, data classification, association rule mining, and data clustering. The subject also covers domain applications where data mining techniques are used.","None","1.Perform critical and effective data- pre-processing tasks 2.Evaluate major data mining classification methodologies 3.Critique association rules mining approaches 4.Evaluate  Data Mining Algorithms based on data clustering techniques 5.Apply advanced data mining techniques for pattern discovery from selected datasets","Specialisation","DATA MINING",NA,"INTRODUCTION TO PROGRAMMING, OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS (PG), C PROGRAMMING FOR ENGINEERS AND SCIENTISTS (PG), OBJECT-ORIENTED PROGRAMMING FUNDAMENTALS"
